word,rarity,pos,Definition,Sentence
sold,2,verb,simple past and past participle of sell,
sole,2,adj,Only.,
solo,2,noun,A piece of music for one performer.,
sols,3,noun,Plural of sol.,
some,1,pron,"A certain number, at least two.","Some enjoy spicy food, others prefer it milder."
song,1,noun,"A musical composition with lyrics for voice or voices, performed by singing.",Thomas listened to his favorite song on the radio yesterday.
sons,2,noun,plural of son,
soon,1,adj,Short in length of time from the present.,
soot,3,noun,"Fine black or dull brown particles of amorphous carbon and tar, produced by the incomplete combustion of coal, oil etc.",
sops,3,noun,Plural of sop.,
sore,3,adj,Causing pain or discomfort; painfully sensitive.,Her feet were sore from walking so far.
sort,1,noun,A general type.,"Swearing doesn't just mean what we now understand by ""dirty words"". It is entwined, in social and linguistic history, with the other sort of swearing: vows and oaths."
sots,3,noun,Plural of sot.,
soul,2,noun,"The spirit or essence of a person usually thought to consist of one's thoughts and personality, often believed to live on after the person's death.","Flowey: See that heart? That is your SOUL, the very culmination of your being!"
soup,2,noun,"Any of various dishes commonly made by combining liquids, such as water or stock, with other ingredients, such as meat and vegetables, that contribute the food value, flavor, and texture.",Pho is a traditional Vietnamese soup.
sour,3,adj,Tasting of acidity.,Lemons have a sour taste.
sous,3,noun,plural of sou,
sown,3,verb,Past participle of sow.,
sows,3,noun,Plural of sow.,
spam,4,noun,Unsolicited bulk electronic messages.,I get far too much spam.
span,2,noun,The full width of an open hand from the end of the thumb to the end of the little finger used as an informal unit of length.,
spar,3,noun,A rafter of a roof.,
spas,3,noun,Plural of spa.,
spat,3,verb,simple past and past participle of spit,There was no sink in the room so we spat out the window.
spay,4,verb,To destroy or remove the ovaries or uterus (of a female animal) to prevent pregnancy.,"With their eye on non-island countries, namely America, the authors of Cat Wars argue for a combination of spay/neuter programs, enclosed sanctuaries, and euthanasia."
spec,3,verb,"To specify, especially in a formal specification document.",
sped,3,verb,simple past and past participle of speed,
spew,3,verb,"To eject forcibly and in a stream,",
spin,2,verb,"To rotate, revolve, gyrate (usually quickly); to partially or completely rotate to face another direction.",Spin the ball on the floor.
spit,3,noun,"A thin metal or wooden rod on which meat is skewered for cooking, often over a fire.",
spiv,4,noun,"A smartly dressed person who trades in illicit, black-market or stolen goods, especially during World War II.",
spot,2,noun,"A round or irregular patch on the surface of a thing having a different color, texture etc. and generally round in shape.",
spry,4,adj,Having great power of leaping or running; nimble; active.,
spud,4,noun,A potato.,
spun,3,verb,simple past and past participle of spin,
spur,3,noun,"A rigid implement, often roughly y-shaped, that is fixed to one's heel for the purpose of prodding a horse. Often worn by, and emblematic of, the cowboy or the knight.","Lives he, good uncle? thrice within this hour I saw him down; thrice up again, and fighting; From helmet to the spur all blood he was."
stab,3,noun,An act of stabbing or thrusting with an object.,"A knife was flashing in his hand, and just as he was about to take a stab at me, the smith grabbed his arm from behind."
stag,3,noun,"An adult male deer, especially a red deer and especially one in high adulthood versus a young adult.",
star,1,noun,"Any small, natural and bright dot in the sky, most visible in the night or twilight sky. This sense includes the planets, but it is now sometimes used in exclusion of them due to influence from the technical astronomical sense.",
stat,4,adv,Immediately; now.,
stay,1,verb,"To remain in a particular place, especially for a definite or short period of time; sojourn; abide.",We stayed in Hawaii for a week. I can only stay for an hour.
stem,2,noun,The stock of a family; a race or generation of progenitors.,
step,1,noun,An advance or movement made from one foot to the other; a pace.,
stet,4,noun,A symbol used by proofreaders and typesetters to indicate that a word or phrase that was crossed out should still remain.,
stew,3,noun,"A heated bath-room or steam-room; also, a hot bath.",
stim,3,noun,"Any repetitive self-stimulatory behavior (e.g. hand flapping, head banging, repeating noises or words), frequent in autistic people.",
stir,3,verb,To disturb the relative position of the particles (of a liquid or similar) by passing an object through it.,"My minde is troubled, like a Fountaine stir'd, / And I my selfe see not the bottome of it."
stop,1,verb,To cease moving.,
stow,3,noun,"A place, stead.",
stub,3,noun,"Something blunted, stunted, or cut short, such as stubble or a stump.",
stud,3,noun,"A male animal, especially a stud horse (stallion), kept for breeding.",
stun,3,verb,To incapacitate; especially by inducing disorientation or unconsciousness.,Bill tried to stun the snake by striking it on the head.
subs,2,noun,Plural of sub.,
such,1,pron,"A person, a thing, people, or things like the one or ones already mentioned.","Such is life, such as it is."
suck,2,noun,An instance of drawing something into one's mouth by inhaling.,"Bammer agreed “Probably a good idea,” he agreed with a quick suck on his straw, “won't stop you from picking up any of these chicks, though.”"
suds,3,noun,Lather; foam or froth formed by mixing soap and water.,
sued,2,verb,Past tense of sue.,
sues,2,verb,Third-person singular present tense of sue.,
suet,4,noun,The fatty tissue that surrounds and protects the kidneys; that of sheep and cattle is used in cooking and in making tallow.,"Some jays, chickadees, nuthatches, and titmice regularly feed at suet; others seem never to indulge."
suit,2,noun,"A set of clothes to be worn together, now especially a man's matching jacket and trousers (also business suit or lounge suit), or a similar outfit for a woman.",Nick hired a navy-blue suit for the wedding.
sulk,4,verb,To express ill humor or offence by remaining sullenly silent or withdrawn.,You crossed her last wish in death and yet you sulk with me because I don’t whinge like some hired mute from Lalouette’s.
sumo,3,noun,"A stylised Japanese form of wrestling in which a wrestler loses if he is forced from the ring, or if any part of his body except the soles of his feet touches the ground.",
sump,3,noun,"A hollow or pit into which liquid drains, such as a cesspool, cesspit or sink.",
sums,3,noun,plural of sum,
sung,3,verb,past participle of sing,
sunk,3,verb,past participle of sink,
suns,3,noun,plural of sun,
sups,3,verb,Third-person singular present tense of sup.,
sure,1,adj,"Physically secure and certain, non-failing, reliable.",This investment is a sure thing.
surf,3,noun,Waves that break on an ocean shoreline.,"It was alone, nervously alighting and flying short distances along the surf."
suss,4,noun,Alternative form of soss (“miry place”).,
swab,3,noun,"A small piece of soft, absorbent material, such as gauze, used to clean wounds, apply medicine, or take samples of body fluids. Often attached to a stick or wire to aid access.",
swag,3,verb,To (cause to) sway.,"Soap/soak the mop into the mop bucket, squeeze it out slightly, swag it back and forth across the piss stained concrete, mop it dry."
swam,3,verb,simple past of swim,
swan,3,noun,"Any of various species of large, long-necked waterfowl, of genus Cygnus (bird family: Anatidae), most of which have white plumage.",
swap,3,verb,To exchange or give (something) in an non-normal exchange (for something else).,"In an effort to provide more permanent accommodations, employers may offer employees the opportunity either to swap jobs with a colleague or to transfer to a new position."
swat,3,verb,"To beat off, as insects; to bat, strike, or hit.",
sway,3,noun,The act of swaying; a swaying motion; a swing or sweep of a weapon.,
swig,4,verb,To drink (usually by gulping or in a greedy or unrefined manner); to quaff.,That sailor can swig whisky with the best of 'em.
swim,2,verb,"To move through the water, without touching the bottom; to propel oneself in water by natural means.",
swot,4,verb,To study with effort or determination.,
swum,4,verb,past participle of swim,
sync,3,noun,"A music synchronization license, allowing the music to be synchronized with visual media such as films.",
tabs,3,noun,Plural of tab.,
tack,3,noun,A small nail with a flat head.,
taco,3,noun,"A Mexican snack food made of a small tortilla (soft- or hard-shelled) filled with ingredients such as meat, rice, beans, cheese, diced vegetables, and salsa.",
tact,3,noun,Sensitive mental touch; special skill or faculty; keen perception or discernment; ready power of appreciating and doing what is required by circumstances; the ability to say the right thing.,"By the use of tact, she was able to calm her jealous husband."
tads,3,noun,Plural of tad.,
tags,2,noun,Plural of tag.,
tail,2,noun,The caudal appendage of an animal that is attached to their posterior and near the anus or cloaca.,Most primates have a tail and fangs.
take,1,verb,"To get into one's hands, possession, or control, with or without force.",I'll take that plate off the table.
talc,4,noun,"A soft mineral, composed of hydrated magnesium silicate, that has a soapy feel and a greenish, whitish, or grayish color, and usually occurs in foliated masses.","The abeer is often mixed with powdered talc to make it glitter, and then, if it gets into the eyes, it causes a good deal of pain."
tale,2,noun,A rehearsal of what has occurred; narrative; discourse; statement; history; story.,And every shepherd tells his tale Under the hawthorn in the dale.
tali,4,noun,plural of talus,
talk,1,verb,"To communicate, usually by means of speech.",Let's sit down and talk.
tall,2,adj,"Having a vertical extent greater than the average. For example, somebody with a height of over 6 feet would generally be considered to be tall.",Being tall is an advantage in basketball.
tame,3,adj,Accustomed to human contact.,
tamp,4,verb,"To plug up with clay, earth, dry sand, sod, or other material, as a hole bored in a rock.",
tams,3,noun,Plural of tam.,
tang,3,noun,A refreshingly sharp aroma or flavor.,"The miraculous air, heady with ozone and made memorably sweet by leagues of wild flowerets, gave tang and savour to the breath."
tank,2,noun,A closed container for liquids or gases.,The tank contains unfiltered water. You really shouldn't drink from that.
tans,2,noun,Plural of tan.,
tape,2,noun,Flexible material in a roll with a sticky surface on one or both sides; adhesive tape.,Hand me some tape. I need to fix a tear in this paper.
taps,3,noun,"A signal, by drum or trumpet, for extinguishing all lights in soldiers' quarters and retiring to bed, usually given about a quarter of an hour after tattoo; the signal is sometimes also given during the funeral of a soldier.",
tare,4,noun,"A vetch, or the seed of a vetch (genus Vicia, esp. Vicia sativa)",
tarn,4,noun,"A small mountain lake, especially in Northern England.",There Grendel was watching his blood flow out into the seething tarn.
taro,3,noun,"Colocasia esculenta, raised as a food primarily for its corm, which distantly resembles potato.",
tarp,3,noun,A tarpaulin.,
tars,3,verb,Third-person singular present tense of tar.,
tart,3,adj,Sharp to the taste; acid; sour.,I ate a very tart apple.
task,2,noun,A piece of work done as part of one’s duties.,
tats,3,verb,Third-person singular present tense of tat.,
taus,3,noun,Plural of tau.,
taut,3,adj,"Under tension, like a stretched bowstring, rope, or sail; tight.","The cord goes taut, tauter, tautest, till down she trips and Adam has a good laugh."
taxa,4,noun,Plural of taxon.,
taxi,2,noun,"A vehicle that may be hired for single journeys by members of the public, particularly one with an automated meter to calculate the fare.","""Taxi,"" he called. And when one pulled up to the curb with screeching brakes he ordered, ""The nearest restaurant."""
teak,3,noun,"An extremely durable timber highly valued for shipbuilding and other purposes, yielded by Tectona grandis (and Tectona spp.).",
teal,3,noun,Any of various small freshwater ducks of the genus Anas that are brightly coloured and have short necks.,
team,1,noun,"A set of draught animals, such as two horses in front of a carriage.","It happened almost every day that coaches stuck fast, until a team of cattle could be procured from some neighbouring farm to tug them out of the slough."
tear,2,verb,"To rend (a solid material) by holding or restraining in two places and pulling apart, whether intentionally or not; to destroy or separate.",
teas,2,noun,Plural of tea.,
teat,4,noun,"The projection of a mammary gland from which, on female therian mammals, milk is secreted.",
tech,4,noun,Technology.,I can't understand all this new tech.
teds,3,noun,Plural of ted.,
teed,3,verb,Past tense of tee.,
teem,4,verb,To be stocked to overflowing.,
teen,2,noun,Synonym of teenager: a person between 13 and 19 years old (inclusive). Meaning: A person between thirteen and nineteen years old (inclusive).,We found that teen drivers and the public largely misunderstand the legal status of cannabis use and do not fully recognize the risks of cannabis-impaired driving.
tees,3,noun,Plural of tee.,
tell,1,verb,"To count, reckon, or enumerate.","All told, there were over a dozen. Can you tell time on a clock? He had untold wealth."
temp,3,noun,Synonym of temporary (“short-term employee”).,
tend,2,verb,To make a tender of; to offer or tender.,
tens,3,noun,plural of ten,
tent,2,noun,"A pavilion or portable lodge consisting of skins, canvas, or some strong cloth, stretched and sustained by poles, used for sheltering people from the weather.",We were camping in a three-man tent.
term,1,noun,"That which limits the extent of anything; limit, extremity, bound, boundary, terminus.",
tern,3,noun,Any of various seabirds of the subfamily Sterninae (of the family Laridae) that are similar to gulls but are smaller and have a forked tail.,
test,1,noun,"A challenge, trial.",
text,1,noun,"A writing consisting of multiple glyphs, characters, symbols or sentences.",
than,1,conj,"Used in comparisons, to introduce the basis of comparison.",Profits were higher than forecast.
that,1,conj,"Introducing a clause that is the object of a verb, especially a reporting verb or verb expressing belief, knowledge, perception, etc.",He told me that the book is a good read.
thaw,3,verb,"To gradually melt, dissolve, or become fluid; to soften from frozen.",
thee,2,verb,To address (a person) using the pronoun thee.,
them,1,pron,Those ones. Used as the direct object of a verb.,She treated them for a cold.
then,1,adv,At that time.,He was happy then.
they,1,pron,A group of entities previously mentioned.,Fred and Jane? They just arrived.
thin,2,adj,Having little thickness or extent from one surface to its opposite.,"Out of spite, the human beings pretended not to believe that it was Snowball who had destroyed the windmill: they said that it had fallen down because the walls were too thin."
this,1,adv,To the degree or extent indicated.,I need this much water.
thou,2,verb,"To address (a person) using the pronoun thou, especially as an expression of contempt or familiarity.",
thud,3,noun,The sound of a dull impact.,
thug,3,noun,A person who is a member of a gang or criminal organization.,
thus,2,adv,In this way or manner.,"If you throw the ball thus, as I’m showing you, you’ll have better luck hitting the target."
tick,3,noun,A tiny woodland arachnid of the suborder Ixodida.,
tics,3,noun,Plural of tic.,
tide,2,noun,The daily fluctuation in the level of the sea caused by the gravitational influence of the moon and the sun.,
tidy,3,adj,Arranged neatly and in order.,She always kept her desk immaculately tidy; nothing was ever out of place.
tied,2,adj,Closely associated or connected.,"As a couple, they are strongly tied to one another."
tier,2,noun,"One who ties (knots, etc.).",
ties,2,noun,plural of tie,
tiff,3,noun,"A (generally small) argument or disagreement; a petty quarrel, a spat.","There's Tom, now, since this tiff with Mrs. Cat, the scoundrel plays the Grand Turk here!"
tile,3,noun,"A regularly-shaped slab of clay or other material, affixed to cover or decorate a surface, as in a roof-tile, glazed tile, stove tile, carpet tile, etc.",
till,2,prep,"Until; to, up to; as late as (a given time).",She stayed till the very end.
tilt,3,verb,To slope or incline (something); to slant.,Tilt the barrel to pour out its contents.
time,1,noun,The inevitable progression into the future with the passing of present and past events.,Time is the fire in which we burn.
tine,4,noun,"A spike or point on an implement or tool, especially a prong of a fork or a tooth of a comb.",
ting,3,intj,Representing a high-pitched sharp sound like a small bell being struck.,
tins,3,noun,plural of tin,
tint,3,noun,A slight coloring.,
tiny,2,adj,Very small.,
tips,2,noun,Plural of tip.,
tire,2,verb,To become sleepy or weary.,
tits,3,noun,Plural of tit.,
tizz,3,noun,A tizzy; a state of worried confusion.,
toad,3,noun,"An amphibian, a kind of frog (order Anura) with shorter hindlegs and a drier, wartier skin, many in family Bufonidae.",
toed,2,verb,Past tense of toe.,
toes,2,noun,Plural of toe.,
toff,4,noun,"A person of the upper class or with pretensions to it, who usually communicates an air of superiority.",
tofu,3,noun,A protein-rich food made from curdled soy milk.,
toga,3,noun,A loose outer garment worn by the citizens of Ancient Rome.,
togs,4,noun,Plural of tog.,
toil,3,noun,"Labour, work, especially of a grueling nature.",
toke,3,noun,A gratuity.,I gave the maitre d’ a $10 toke and he just laughed.
told,1,verb,simple past and past participle of tell,"A tale is but half told, if only one person tells it."
tole,3,noun,A decorative metalware having a lacquered or enamelled surface that is painted or gilded.,
toll,2,noun,"A fee paid for some liberty or privilege, particularly for the privilege of passing over a bridge or on a highway, or for that of vending goods in a fair, market, etc.",
tomb,3,noun,"A small building, or a room within one, for the remains of the dead, with walls, a roof, and (if it is to be used for more than one corpse) a door. It may be partly or wholly in the ground (except for its entrance) in a cemetery, or it may be inside a church proper or in its crypt. Single tombs may be permanently sealed; those for families (or other groups) have doors for access whenever needed.",
tome,3,noun,One in a series of volumes.,
toms,2,noun,Plural of tom.,
tone,2,noun,A specific pitch.,
tong,3,noun,An instrument or tool used for manipulating things in a fire without touching them with the hands.,
tons,2,noun,Plural of ton.,
tony,3,adj,"Stylish, high-toned, upscale.",
took,1,verb,simple past of take,
tool,2,noun,Any physical device meant to ease or do a task.,A stapler is a tool for attaching papers to others.
toot,3,noun,The noise of a horn or whistle.,"He gave a little toot of the horn, to get their attention."
topi,4,noun,An antelope of the species Damaliscus korrigum syn. Damaliscus lunatus.,
tops,1,noun,Plural of top.,
tore,3,verb,"simple past of tear (“rip, rend, speed”).",
torn,2,verb,past participle of tear,
tors,3,noun,Plural of tor.,
tort,3,noun,"A wrongful act, whether intentional or negligent, regarded as non-criminal and unrelated to a contract, which causes an injury and can be remedied in civil court, usually through the awarding of damages.",
tosh,3,noun,"Rubbish, trash, (now especially) nonsense, bosh, balderdash","To think what I've gone through to hear that man! Frightful tosh it'll be, too."
toss,3,noun,"A throw, a lob, of a ball etc., with an initial upward direction, particularly with a lack of care.",
tote,3,noun,A tote bag.,
tots,3,noun,Plural of tot.,
tour,2,noun,"A journey through a particular building, estate, country, etc.",On our last holiday to Spain we took a tour of the wine-growing regions.
tout,3,noun,Someone advertising for customers in an aggressive way.,"Paul Muniment looked at his young friend a moment. 'Do you want to know what he is? He's a tout.' 'A tout? What do you mean?' 'Well, a cat's-paw, if you like better.'"
town,1,noun,"A settlement; an area with residential districts, shops and amenities, and its own local government; especially one larger than a village and smaller than a city, historically enclosed by a fence or walls, with total populations ranging from several hundred to more than a hundred thousand (as of the early 21st century)",This town is really dangerous because these youngsters have Beretta handguns.
tows,3,verb,Third-person singular present tense of tow.,
toys,2,noun,Plural of toy.,
trad,3,adj,Traditional.,
tram,3,noun,A passenger vehicle for public use that runs on tracks in the road (called a streetcar or trolley in North America).,
trap,2,noun,"A machine or other device designed to catch (and sometimes kill) animals, either by holding them in a container, or by catching hold of part of the body.",
tray,3,noun,"A small, typically rectangular or round, flat, and rigid object upon which things are carried.",I carefully arranged the dishes on the tray and brought it upstairs.
tree,2,noun,"A perennial woody plant taller and larger than a shrub with a wooden trunk and, at some distance from the ground, having leaves and branches.",Hyperion is the tallest living tree in the world.
trek,3,noun,A journey by ox wagon.,
trey,3,noun,A playing card or die with the rank of three.,
trig,4,adj,True; trusty; trustworthy; faithful.,
trim,3,verb,"To reduce slightly; to cut; especially, to remove excess.","Place the screen material in the frame, secure it in place, and trim the edges."
trio,3,noun,A group of three people or things.,"I'm cooking crab cakes with arugula and mayonnaise, griddled lamb with rosemary potatoes and buttered spinach, then a trio of desserts."
trip,2,noun,A journey; an excursion or jaunt.,We made a trip to the beach.
trod,4,verb,simple past of tread,
trot,3,noun,A gait of a person or animal faster than a walk but slower than a run.,Waziri’s warriors marched at a rapid trot through the jungle in the direction of the village.
troy,3,adj,"Of, or relating to, troy weight.",
true,1,adj,In accordance with fact or reality; correct.,The story she told was true.
trug,3,noun,"A shallow, oval basket used for gardening.",
tuba,3,noun,"A large brass musical instrument, usually in the bass range, played through a vibration of the lips upon the mouthpiece and fingering of the keys.","One version of the large tuba, popular in marching bands, is called a sousaphone in honor of bandsman John Philip Sousa."
tube,2,noun,Anything that is hollow and cylindrical in shape.,
tubs,3,noun,Plural of tub.,
tuck,3,verb,To pull or gather up (an item of fabric).,
tuft,4,noun,"A bunch of feathers, grass or hair, etc., held together at the base.",
tugs,3,verb,Third-person singular present tense of tug.,
tums,3,noun,Plural of tum.,
tuna,3,noun,Any of several species of fish of the genus Thunnus in the family Scombridae.,
tune,2,noun,A melody.,Eric played a catchy tune on his acoustic guitar and Alyssa played the drums.
tuns,3,noun,Plural of tun.,
turf,3,noun,A layer of earth covered with grass; sod.,"Miss Thorn began digging up the turf with her lofter: it was a painful moment for me. ¶ “You might at least have tried me, Mrs. Cooke,” I said."
turn,1,verb,To make a non-linear physical movement. To move about an axis through itself.,
tush,4,noun,A tusk.,
tusk,3,noun,"One of a pair of elongated pointed teeth that extend outside the mouth of an animal such as walrus, elephant or wild boar, and which continue to grow throughout the animal's life.",
tuts,3,verb,Third-person singular present tense of tut.,
tutu,3,noun,A ballet skirt made of layered stiff but light netting.,The ballet dancer representing the swan wore a white tutu.
twee,4,adj,"Overly quaint, dainty, cute or nice.",Those Beatrix Potter animals are a little twee for my taste.
twig,3,noun,A small thin branch of a tree or bush.,
twin,2,noun,"Either of two people (or, less commonly, animals) who shared the same uterus at the same time; one who was born at the same birth as a sibling.",
twit,3,verb,"To blame or reproach (someone), especially in a good-natured or teasing manner; also, to ridicule or tease (someone).","Nay, do not twit me now with all the freaks, / And levities, and gambols charged upon me / By every lean-faced dame that wears a hood."
twos,3,noun,plural of two.,It's odd there were no twos in the winning lottery numbers.
tyke,4,noun,A mongrel dog.,
type,1,noun,A grouping based on shared characteristics; a class.,This type of plane can handle rough weather more easily than that type of plane.
typo,3,noun,A typographical error.,"Sorry, I meant to say “buy a SODA”—“sofa” was a typo."
tyro,3,noun,A beginner; a novice.,
udon,3,noun,A Japanese wheat noodle.,
ugly,2,adj,Displeasing to the eye; aesthetically unpleasing.,"O, I have passed a miserable night, / So full of ugly sights, of ghastly dreams."
ulna,4,noun,"The bone of the forearm that extends from the elbow to the wrist on the side opposite to the thumb, corresponding to the fibula of the hind limb. Also, the corresponding bone in the forelimb of any vertebrate.",
umps,3,noun,Plural of ump.,
undo,3,verb,To reverse the effects of an action.,"Fortunately, we can undo most of the damage to the system by the war."
unis,4,noun,Plural of uni.,
unit,2,noun,"Oneness, singularity, seen as a component of a whole number; a magnitude of one.",
unto,3,conj,Up to the time or degree that; until.,
updo,3,noun,A woman's hairdo in which most hair is kept above the neck.,
upon,1,prep,"A higher-register or more formal alternative to on in most, though not all, prepositional uses.",The drums play on The year of the dog is upon us.
urea,3,noun,"A water-soluble organic compound, CO(NH₂)₂, formed by the metabolism of proteins and excreted in the urine.",
urge,2,noun,A strong desire; an itch to do something.,"After seeing the advert for a soft drink, I had a sudden urge to buy a bottle."
uric,4,adj,"Pertaining to, contained in, or obtained from urine.",
urns,3,noun,Plural of urn.,
used,1,verb,simple past and past participle of use,You used me! You never loved me at all!
user,2,noun,"One who uses or makes use of something, a consumer or client or an express or implied licensee (free user) or a trespasser.",
uses,2,noun,plural of use,
vacs,4,noun,Plural of vac.,
vain,3,adj,"Overly proud of oneself, especially concerning appearance; having a high opinion of one's own accomplishments with slight reason.",Every writer is a narcissist. This does not mean that he is vain; it only means that he is hopelessly self-absorbed.
vale,3,noun,A valley.,"""Make me a cottage in the vale,"" she said, / ""Where I may mourn and pray."
vamp,3,noun,"The top part of a boot or shoe, above the sole and welt and in front of the ankle seam, that covers the instep and toes; the front part of an upper; the analogous part of a stocking.","The flow of water was in my ears, and in my eyes a hazy spreading, and upon my brain a closure, as a cobbler sews a vamp up."
vane,3,noun,A weather vane.,
vans,2,noun,Plural of van.,
vape,3,noun,An electronic cigarette.,
vary,2,verb,To change with time or a similar parameter.,We are to vary the customs according to the time and country where the scene of action lies.
vase,3,noun,"An upright open container used mainly for displaying fresh, dried, or artificial flowers.",
vast,2,adj,Very large or wide (literally or figuratively).,The Sahara desert is vast.
vats,3,noun,Plural of vat.,
veal,3,noun,The flesh of a calf (i.e. a young bovine) used for food.,
veep,4,noun,"The Vice President of the United States; the office of Vice President of the United States, especially during an election cycle where several are in the running for the nomination.",She’s running for veep.
veer,3,verb,To change direction or course suddenly; to swerve.,"As for the legions of paintings, they veer between the bland and bizarre."
veil,3,noun,"Something hung up or spread out to hide or protect the face, or hide an object from view; usually of gauze, crepe, or similar diaphanous material.",The veil of the temple was rent in twain.
vein,3,noun,A blood vessel that transports blood from the capillaries back to the heart.,The nurse hovered her vein finder to locate the veins in the patient's body.
vela,4,noun,plural of velum,
veld,4,noun,The open grassland or pastureland of South Africa and neighbouring countries.,"Pale yellow and greyish brown, the bare veld of late summer lay flat and listless under the drab sky."
vend,4,verb,"Synonym of sell, now especially to sell through a vending machine.","Amazon said over 20,000 small stores have signed on to its Local Shops program over five months to vend basics like household essentials and fresh flowers."
vent,3,noun,"An opening through which gases, especially air, can pass.",
verb,3,noun,"A word that indicates an action, event, or state of being.",The word “speak” is an English verb.
vert,4,noun,"A green colour, now only in heraldry; represented in engraving by diagonal parallel lines 45 degrees counter-clockwise.","The field of the arms (shield), which is vert (green), represents the open country of Great Britain."
very,1,adj,"True, real, actual.",The fierce hatred of a very woman.
vest,3,noun,"A sleeveless garment that buttons down the front, worn over a shirt, and often as part of a suit; a waistcoat.","The Jones man was looking at her hard. Now he reached into the hatch of his vest and fetched out a couple of cigars, everlasting big ones, with gilt bands on them."
veto,3,noun,"A political right to disapprove of (and thereby stop) the process of a decision, a law etc.",
vets,3,noun,Plural of vet.,
vial,3,noun,"A glass or plastic vessel or bottle, especially a small tube-shaped bottle used to store medicine, perfume or other chemicals.",
vibe,3,noun,"An atmosphere or aura felt to belong to a person, place or thing.",The couple canceled their night out when they got a bad vibe from the new babysitter.
vice,2,noun,Bad or immoral behaviour.,"Pride is a vice, not a virtue."
vied,3,verb,Past tense of vie.,
vies,3,verb,Third-person singular present tense of vie.,
view,1,noun,Visual perception.,
vile,3,adj,Morally low; base; despicable.,
vine,3,noun,Any plant whose stem requires support and which climbs by tendrils or twining.,
vino,3,noun,Wine.,John came home drunk last night — he’d been at the vino again.
viol,3,noun,"A stringed instrument related to the violin family, but held in the lap between the legs like a cello, usually with C-holes, a flat back, a fretted neck and six strings, played with an underhanded bow hold.",
visa,2,noun,"A permit to enter and leave a country, normally issued by the authorities of the country to be visited.",I came on a six-month tourist visa.
vise,3,noun,"An instrument consisting of two jaws, closing by a screw, lever, cam, or the like, for holding work, as in filing.",
vita,3,noun,A hagiography; a biography of a saint.,
viva,3,verb,"To cheer, applaud",
vlog,4,noun,A weblog using video as its primary presentation format.,"When you create this kind of videoless vlog, where you don't have the video recorded on a camcorder, you have to be more conscious of the story you want to tell."
void,2,adj,Containing nothing; empty; not occupied or filled.,Today's youth's brains are sucked void of common sense.
vole,4,noun,"Any of a large number of species of small rodents of the tribes Arvicolini, Ellobiusini, Clethrionomyini, Pliomyini, Phenacomyini and Prometheomyini.",
volt,3,noun,"In the International System of Units, the derived unit of electrical potential and electromotive force (voltage); the potential difference across a conductor when a current of one ampere uses one watt of power. Symbol: V","If the volt, ampere and ohm were taken as the absolute units, the practical units would be the ampere, begohm and begavolt, names just as convenient as ampere, coulomb and farad."
vote,1,noun,A formalized choice on legally relevant measures such as employment or appointment to office or a proceeding about a legal dispute.,The city council decided the matter should go to public vote.
vows,3,noun,Plural of vow.,
wack,3,adj,"Annoyingly or disappointingly bad, in various senses; lousy, corny, cringy, uncool, messed up.",Every record they ever made was straight-up wack.
wade,3,verb,To walk through water or something that impedes progress.,
wadi,3,noun,"A valley, gully, or stream bed in northern Africa and southwest Asia that remains dry except during the rainy season.",
wads,3,noun,Plural of wad.,
waft,4,verb,To (cause to) float easily or gently through the air.,
wage,2,noun,"An amount of money paid to a worker for a specified quantity of work, usually calculated on an hourly basis and expressed in an amount of money per hour.",
wags,3,verb,Third-person singular present tense of wag.,
waif,4,noun,"Something found, especially if without an owner; something which comes along, as it were, by chance.",
wail,3,verb,"To cry out, as in sorrow or anguish.",
wait,1,verb,To delay movement or action until some event or time; to remain neglected or in readiness.,Wait here until your car arrives.
wake,2,verb,(often followed by up) To stop sleeping.,
wale,4,noun,A ridge or low barrier.,
walk,1,verb,"To move on the feet by alternately setting each foot (or pair or group of feet, in the case of animals with four or more feet) forward, with at least one foot on the ground at all times. Compare run.",To walk briskly for an hour every day is to keep fit.
wall,1,noun,"A rampart of earth, stones etc. built up for defensive purposes.",
wand,3,noun,"A hand-held narrow rod, usually used for pointing or instructing, or as a traditional emblem of authority.",
wane,3,noun,"A gradual diminution in power, value, intensity etc.",
wank,4,verb,To masturbate.,
want,1,verb,"To wish for or desire (something); to feel a need or desire for; to crave, hanker, or demand.","I want you as a friend, not a foe."
ward,2,noun,"Protection, defence. The action of a watchman; monitoring, surveillance (usually in phrases keep ward etc.)",
ware,3,noun,Goods or a type of goods offered for sale or use.,"Astbury was the more successful and made frequent journeys to London, where he sold his ware and obtained further orders."
warm,2,adj,"Of a somewhat high temperature, often but not always connoting that the high temperature is pleasant rather than uncomfortable.",The tea is still warm.
warn,2,verb,"To make (someone) aware of (something impending); especially: To make (someone) aware of impending danger, evil, etc.",We waved a flag to warn the oncoming traffic about the accident.
warp,3,noun,"The state, quality, or condition of being twisted, physically or mentally: The state, quality, or condition of being physically bent or twisted out of shape.",All frames found to suffer from warp should be broken up straight away before the printer is tempted during a rush to make use of them.
wars,1,noun,Plural of war.,
wart,3,noun,A type of deformed growth occurring on the skin caused by the human papillomavirus (HPV).,A wart has appeared on my toe.
wary,3,adj,"Cautious of danger; carefully watching and guarding against deception, trickery, and dangers; suspiciously prudent",He is wary of dogs.
wash,2,verb,To clean with water.,"The car is so dirty, we need to wash it."
wasp,3,noun,Any of many types of stinging flying insect resembling a hornet.,
